median_expr,tcc_label
-0.238359274,PAM50_Basal
0.044566229,LUSC
-0.920119282,Lung NOS
-0.095566824,Pancreas
-0.208670821,HGG
0.37394042,Rectum-Anus
0.067112133,NeuroCarcinoid_Lung
-0.488920702,LUAD
-0.39769071,Large Bowel
-0.573743387,LGG
-0.356386141,Bladder
0.157325178,Large Bowel
0.102404644,Large Bowel
-0.550333196,HGG
0.377507184,Endometrium/Uterus
0.26631989,HGG
0.023642604,PAM50_Normal
0.829888395,PAM50_Basal
0.386098734,Esophagus
-0.009939418,LUAD
-0.571823038,PAM50_LumA
-0.140666965,LUAD
-0.321320405,LUSC
-0.169674136,LUAD
0.027135407,Ovary
0.021929035,HGG
-0.22470236,HGG
-0.389200931,LUAD
0.050671291,PAM50_LumB
0.094158896,PAM50_Her2
-0.743790215,Lung NOS
0.114021418,LUAD
0.32305201,LUAD
1.247328329,PAM50_Basal
0.400481032,LUSC
0.19175909,Large Bowel
0.021862063,Large Bowel
-0.034101637,Large Bowel
0.154698345,Lung NOS
-0.392399501,Pancreas
0.621948081,Large Bowel
0.594634388,Large Bowel
0.150217341,Large Bowel
0.184766733,Large Bowel
0.230176872,Large Bowel
-0.398420036,Large Bowel
-0.329939794,Large Bowel
0.167103525,Large Bowel
0.658930458,Large Bowel
0.351602627,Large Bowel
0.33467282,Large Bowel
0.415363347,Large Bowel
0.412184727,Large Bowel
-0.320561822,Large Bowel
-0.29960632,NeuroCarcinoid
0.782605808,Rectum-Anus
0.172274766,Large Bowel
0.516748424,Large Bowel
0.418943741,Large Bowel
0.257148708,Large Bowel
0.318300587,Large Bowel
-0.10296308,Rectum-Anus
0.341497331,Large Bowel
-0.222127351,Large Bowel
-0.151651499,Large Bowel
-0.301662477,NeuroCarcinoid
0.22002258,Rectum-Anus
0.476468876,Large Bowel
-0.16448258,Large Bowel
-0.080248213,Large Bowel
0.13512594,Rectum-Anus
0.442936785,Large Bowel
0.221829435,Large Bowel
0.481108344,Large Bowel
0.360424463,Large Bowel
-0.372604241,Large Bowel
0.412188953,Large Bowel
0.585580354,Rectum-Anus
0.023932929,Large Bowel
0.731420614,Large Bowel
-0.270173386,Large Bowel
0.555270239,Large Bowel
-0.039458136,Large Bowel
0.702202042,Large Bowel
0.555458545,Large Bowel
0.255113877,Large Bowel
1.007993549,Large Bowel
0.701786961,Large Bowel
0.285039092,Large Bowel
0.579495683,Large Bowel
-0.478168599,NeuroCarcinoid
0.508653535,Large Bowel
0.56592043,Rectum-Anus
0.396805983,Large Bowel
0.534152212,Large Bowel
0.599666888,Large Bowel
0.228100521,Large Bowel
0.336656771,Rectum-Anus
0.669330493,Large Bowel
-0.310240321,Rectum-Anus
0.3251922,Large Bowel
0.512577751,Large Bowel
0.201310894,Large Bowel
0.414545141,Large Bowel
0.111349528,Large Bowel
0.261976449,Rectum-Anus
0.676365524,Large Bowel
0.253061537,Large Bowel
0.43496696,Large Bowel
0.612069022,Large Bowel
0.00386491,Rectum-Anus
0.837263596,Large Bowel
0.673736473,Large Bowel
0.54076675,Large Bowel
0.236956786,Rectum-Anus
0.772060043,Large Bowel
0.499464211,Large Bowel
-0.245977833,Rectum-Anus
0.496278564,Large Bowel
0.607103174,Large Bowel
0.516219339,Rectum-Anus
-0.078150615,Large Bowel
0.635331171,Large Bowel
0.493605908,Rectum-Anus
-0.295561045,Large Bowel
0.151731788,Large Bowel
0.45855837,Large Bowel
0.188194629,Large Bowel
0.172157697,Large Bowel
0.202970747,Rectum-Anus
0.637660486,Large Bowel
0.339001554,Rectum-Anus
0.414870167,Large Bowel
0.472746959,Large Bowel
0.325206807,Rectum-Anus
0.29006225,Large Bowel
0.557842939,Rectum-Anus
0.466364223,Large Bowel
0.250087563,Large Bowel
0.421118523,Large Bowel
0.555063603,Rectum-Anus
0.630874524,Large Bowel
0.606734722,Rectum-Anus
0.1012048,Large Bowel
-0.225161865,Large Bowel
0.640089908,Rectum-Anus
0.583447652,Large Bowel
0.48345644,Large Bowel
0.29826053,Large Bowel
0.346186816,Large Bowel
0.086089354,PAM50_LumA
0.120706207,PAM50_Her2
-0.493365122,PAM50_LumA
0.338131692,PAM50_Normal
-0.399364948,PAM50_LumA
-0.052492719,PAM50_Normal
-0.320834182,PAM50_Normal
-0.23766829,PAM50_Normal
-0.004986738,PAM50_Her2
0.662542644,PAM50_Basal
-0.023285991,PAM50_Normal
0.042340524,PAM50_Basal
0.114335849,PAM50_Normal
-0.113031421,PAM50_Basal
-0.34130008,PAM50_LumA
-0.003524285,PAM50_Her2
-0.048556843,PAM50_Basal
-0.425210543,PAM50_Normal
0.150231066,PAM50_Basal
-0.452215936,PAM50_LumA
-0.291772471,PAM50_LumA
0.145638871,PAM50_Basal
-0.176841442,PAM50_Basal
0.074679922,PAM50_Basal
-0.493358008,PAM50_Normal
-0.174141275,PAM50_LumA
0.135972141,PAM50_Basal
-0.351271802,PAM50_LumA
-0.288720823,PAM50_LumA
-0.044551368,PAM50_LumB
-0.736144775,PAM50_LumB
-0.114660626,PAM50_LumA
-0.039520931,PAM50_LumA
-0.288230427,PAM50_LumB
-0.065170906,PAM50_Normal
-0.29034048,PAM50_Normal
-0.233132688,PAM50_Normal
-0.690730072,PAM50_LumA
-0.532477031,PAM50_LumA
-0.669183966,PAM50_LumA
0.602615943,PAM50_Basal
-0.848988683,PAM50_LumB
-0.447382263,PAM50_LumA
-0.051059443,PAM50_LumA
-0.049541446,PAM50_Normal
-0.066522081,PAM50_Normal
0.440687855,PAM50_Basal
-0.641748072,PAM50_Her2
-0.455939859,PAM50_LumA
0.704133169,PAM50_Basal
-0.407770231,PAM50_LumA
-0.13055134,PAM50_LumA
-0.075414486,PAM50_Basal
-0.438635083,PAM50_LumA
0.642722696,Ovary
0.16090944,Ovary
0.410843493,PAM50_LumB
-0.350389328,PAM50_LumA
-0.260548047,PAM50_LumA
0.240806397,Ovary
0.36225708,Ovary
-0.309512405,Ovary
0.088205136,Ovary
0.352799889,Ovary
0.228390123,Ovary
0.510686812,Ovary
0.02950394,Ovary
-0.415526084,PAM50_LumA
0.158367412,Ovary
-0.023997245,Ovary
0.266966211,Ovary
0.437103324,Ovary
0.112566964,PAM50_Basal
0.233124243,Ovary
0.180002508,Ovary
0.356488923,Ovary
-0.345503562,PAM50_LumA
0.13561995,Ovary
-0.3853959,Ovary
0.693343404,Ovary
-0.062804349,Ovary
0.851819861,Ovary
0.869529056,Ovary
0.231977813,Ovary
0.342923245,Ovary
-0.058395512,Ovary
0.330993875,Ovary
1.019022551,Ovary
0.283767926,Ovary
-0.15932794,Ovary
0.26654865,Ovary
0.332052584,Endometrium/Uterus
0.419486081,Ovary
0.750401658,Ovary
0.114195221,Ovary
0.226546945,Ovary
0.595989293,Ovary
-0.198623414,Ovary
0.224524062,Ovary
0.174690546,Ovary
0.402575489,Ovary
-0.040254174,Ovary
-0.017249047,Ovary
0.273582395,Ovary
0.649690586,Ovary
0.548362929,Ovary
-0.314794115,PAM50_Normal
0.208227334,PAM50_Her2
0.061720077,PAM50_Normal
-0.72543842,PAM50_LumA
0.364879541,Ovary
0.622022904,PAM50_Her2
-0.249984749,Ovary
0.772782636,PAM50_Basal
-0.734301086,PAM50_Her2
-0.416861437,NeuroCarcinoid
0.064475009,PAM50_Basal
-0.3635856,PAM50_Her2
0.335424555,Ovary
-0.270698079,Ovary
-0.093044046,PAM50_Basal
-0.002602884,Ovary
-0.239122995,Ovary
-0.033632618,Ovary
0.393422937,Ovary
0.060412267,Ovary
0.242016648,Ovary
0.578100804,Ovary
0.247047184,Ovary
0.601972305,Ovary
0.443909643,Ovary
0.260316776,Ovary
0.222380968,Ovary
-0.614569304,Ovary
0.200667424,Ovary
-0.266768617,Ovary
-0.264317589,PAM50_Normal
0.413754535,PAM50_Basal
-0.619966177,PAM50_Normal
-0.142854253,PAM50_Normal
-0.282020191,LUAD
-0.443655868,PAM50_LumB
0.743441987,PAM50_Basal
-0.186416757,LUAD
-1.027841676,PAM50_LumA
-0.011159819,PAM50_Her2
-0.297017852,PAM50_LumB
-0.166443611,PAM50_Normal
0.324914426,LUSC
-0.131600909,PAM50_Her2
-0.016597343,PAM50_Her2
-0.395089917,PAM50_LumA
-0.388776254,PAM50_LumA
-0.376846868,PAM50_Basal
-0.753555398,PAM50_Basal
-0.20501923,PAM50_LumA
0.086695051,PAM50_LumA
0.049033169,PAM50_Her2
-0.280491459,PAM50_Normal
-0.562111099,PAM50_LumA
0.602800068,PAM50_Basal
0.061801391,PAM50_Normal
-0.320431771,PAM50_LumA
-1.003837373,PAM50_LumB
-0.170067034,PAM50_LumB
0.318878716,PAM50_Her2
-0.810976918,PAM50_LumB
-0.059198296,PAM50_Normal
-0.449440547,PAM50_LumB
-0.692264373,PAM50_LumB
-0.235075621,PAM50_Normal
0.204267999,PAM50_Basal
0.028292561,PAM50_LumB
-0.142500345,PAM50_Normal
-0.74579976,PAM50_LumA
-0.056341923,PAM50_LumA
0.775362747,PAM50_Basal
0.569125681,PAM50_Basal
0.24001911,PAM50_Normal
-0.200622843,PAM50_LumA
0.175070427,PAM50_Basal
0.539053585,PAM50_Basal
-0.501997502,PAM50_LumA
-0.2225166,PAM50_Normal
-0.859700978,PAM50_Her2
0.342811692,PAM50_Her2
-0.511842376,PAM50_Her2
-0.179417075,PAM50_Basal
-0.225777888,PAM50_LumA
-0.711619601,PAM50_LumB
1.006084818,PAM50_Her2
0.254260899,LUAD
-1.200657398,PAM50_Normal
-0.079817129,PAM50_Normal
-0.363783472,PAM50_Basal
-0.131535779,PAM50_Her2
-0.156837904,PAM50_Normal
-0.532902901,PAM50_Normal
0.006862571,PAM50_LumA
0.156850972,PAM50_Normal
-0.015829699,PAM50_Normal
-0.27598068,PAM50_LumA
0.442615981,PAM50_Basal
0.179606536,PAM50_Her2
0.050583002,PAM50_Normal
-0.129451965,PAM50_Normal
-0.317445741,PAM50_Her2
0.01826325,PAM50_Basal
-0.523675202,LUAD
0.858990344,LUSC
0.585690788,NeuroCarcinoid_Lung
0.638688044,LUSC
-0.011367035,LUAD
0.118036298,Lung NOS
-0.432557416,LUAD
-0.17098457,LUAD
1.11647248,LUSC
0.24656485,Lung NOS
-0.619767501,NeuroCarcinoid_Lung
-0.528225194,NeuroCarcinoid_Lung
-0.256263087,LUAD
0.551231619,LUAD
0.029359829,NeuroCarcinoid_Lung
-0.255514603,LUAD
0.186588813,LUAD
-0.460489102,Lung NOS
-0.531630377,LUAD
0.46991293,Lung NOS
